classname,youtube_id,subset,start,end,label
Horseback riding,LL-EJpKhgds,training,19.0,21.0,1
Horseback riding,nmA2hjQ0wpA,training,25.5,27.5,1
Horseback riding,szRz0Yiei84,training,31.0,33.0,-1
Horseback riding,YD6I8dVLhXI,training,7.5,9.5,1
Horseback riding,l_YNOanxMWw,training,26.5,28.5,1
Horseback riding,I2saZrbGP_0,training,108.0,110.0,-1
Horseback riding,E-v8pS6QSbM,training,6.0,8.0,1
Horseback riding,qmOieiI9EPk,training,56.0,58.0,1
Horseback riding,UqNy80ITkgw,training,6.0,8.0,1
Horseback riding,yi1cU2JqIE0,training,23.0,25.0,-1
Horseback riding,xBbFGRDZ308,training,11.0,13.0,1
Horseback riding,UedMvDp8dUw,training,22.5,24.5,1
Horseback riding,AqY28FqC-As,training,40.0,42.0,1
Horseback riding,Pc6SMzLAve4,training,5.5,7.5,1
Horseback riding,-49q5-K_E_Q,training,28.0,30.0,-1
Horseback riding,4fYOCseWeZM,training,21.0,23.0,1
Horseback riding,OnxcyUCPTxc,training,23.0,25.0,-1
Horseback riding,8W9smv1EOuQ,training,11.5,13.5,1
Horseback riding,PY8optDEgx8,training,11.5,13.5,1
Horseback riding,B4_gs3paa8A,training,30.5,32.5,-1
Horseback riding,XeDuloYZF94,training,3.0,5.0,1
Horseback riding,nmGPr-wU2Wo,training,9.0,11.0,1
Horseback riding,v3K760H5NZI,training,145.0,147.0,-1
Horseback riding,-W8Xhk4V6og,training,6.5,8.5,1
Horseback riding,5LAKyISbqdQ,training,18.0,20.0,1
Horseback riding,FJraFJ3SSAM,training,56.0,58.0,-1
Horseback riding,sQHRJfddsTY,training,10.0,12.0,1
Horseback riding,vSG725h-_xc,training,9.0,11.0,1
Horseback riding,BH4_0Qe7DqY,training,37.5,39.5,1
Horseback riding,sVYdlk61L6Y,training,6.0,8.0,1
Horseback riding,Fol_wQIpPGk,training,8.0,10.0,1
Horseback riding,lpfwku4rzEs,training,4.0,6.0,1
Horseback riding,8URFNBH1M4M,training,66.5,68.5,-1
Horseback riding,Wi_ezK6dtVE,training,31.0,33.0,1
Horseback riding,e97vIHr40BU,training,14.5,16.5,1
Horseback riding,y_xHZtPEL-k,training,28.0,30.0,-1
Horseback riding,yBuvDC7PBDI,training,16.0,18.0,1
Horseback riding,bLvzdzMp-68,training,84.0,86.0,1
Horseback riding,KywQx0i7uKo,training,18.0,20.0,-1
Horseback riding,eLRzkSyIHx0,training,29.0,31.0,1
Horseback riding,0tKKNuGOlBU,training,13.5,15.5,-1
Horseback riding,CZCmLYujyWY,training,8.0,10.0,1
Horseback riding,lPETz6UZ8ok,training,4.0,6.0,1
Horseback riding,_79R5NFm0vY,training,3.0,5.0,1
Horseback riding,0LTziAz6VDQ,training,15.0,17.0,1
Horseback riding,jy-dqiIH52I,training,24.5,26.5,-1
Horseback riding,nGLvfm7lZCU,training,15.0,17.0,-1
Horseback riding,mhjMtSFpvAE,training,26.5,28.5,1
Horseback riding,9whkiP9bMnw,training,66.0,68.0,-1
Horseback riding,1Jp64VG53rg,training,19.0,21.0,1
Horseback riding,U4gWFateH70,training,18.5,20.5,-1
Horseback riding,s5qT7_txrDA,training,32.0,34.0,1
Horseback riding,ADyMtRrNync,training,16.0,18.0,1
Horseback riding,5M2Wpenb4Lk,training,15.0,17.0,1
Horseback riding,kcDlDUnDfmM,training,23.5,25.5,1
Horseback riding,uGmPKLjb7j4,training,13.0,15.0,-1
Horseback riding,ZA78MuffSHc,training,26.5,28.5,1
